GEOid,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_EST_VC03,HC01_EST_VC04,HC01_EST_VC05,HC01_EST_VC06,HC01_EST_VC07,HC01_EST_VC08,HC01_EST_VC09,HC01_EST_VC10,HC01_EST_VC20,HC01_EST_VC21,HC01_EST_VC23,HC01_EST_VC26,HC01_EST_VC28,HC01_EST_VC46,HC01_EST_VC47,HC01_EST_VC48,HC01_EST_VC49
1400000US25009205100,25009205100,CT2051,5091,6.4,13.5,11.5,22.1,15.1,17.1,9.4,4.8,75.1,3.7,4.9,3.8,30.7,9.6,31.7,30.5,19.5
1400000US25009205200,25009205200,CT2052,5936,7.1,17.8,8.7,28.5,13.8,11.9,7.1,5.1,55.1,8.1,15,3.6,26.9,12.7,40.2,23.6,15.4
1400000US25009205300,25009205300,CT2053,4110,5.9,12.9,9.5,30.3,14.7,14.2,8.5,4.1,82.9,1.3,11.2,2.8,10.7,5.5,31.1,31.6,22.1
1400000US25009205400,25009205400,CT2054,4662,3.4,13.7,9.3,23.2,14.2,19.1,10.5,6.5,92.4,1.6,1.1,4.7,6.4,4.3,29.3,28.5,23
1400000US25009205500,25009205500,CT2055,4977,9.3,19.5,8.1,35.3,10,8.5,4.4,4.7,44,14.4,7.7,8.6,48.9,26.4,35.7,24.6,8.9
1400000US25009205600,25009205600,CT2056,3992,8.4,19.7,10,20.9,12.7,15.6,5.4,7.4,62.2,13.9,3.4,6.5,26.7,16.3,26.5,31.7,19.4
1400000US25009205700,25009205700,CT2057,4803,5.5,12,10.1,32.5,14.6,15.2,4.7,5.4,56.7,13.5,6.7,1.9,28.1,14.7,35.5,29,15.2
1400000US25009205800,25009205800,CT2058,3590,8.9,24.1,10.4,29.1,11.1,10.6,1.2,4.5,34.6,12.2,8.7,6.4,52.1,21.8,35.9,25.9,12
1400000US25009205900,25009205900,CT2059,4478,8,19.6,8.8,32.8,14.1,8.4,4.1,4.3,43.7,12.2,8.8,3.5,40.4,20.8,38.3,23,14.7
1400000US25009206000,25009206000,CT2060,3244,12.5,16.4,13.5,29.8,11,9.8,3.9,3.1,29,15.4,9,3.7,57.4,37.4,29.6,20.6,7.1
1400000US25009206100,25009206100,CT2061,4104,8.9,16.7,14.5,26.9,14.2,9.9,4.6,4.2,22.5,15.4,13.8,10.5,53,30,35.9,26.2,5.6
1400000US25009206200,25009206200,CT2062,5532,10.2,21,10.3,35.2,10.8,6.6,4.1,1.7,25.1,11.9,7.1,12,60.2,39.4,19,30.4,9.9
1400000US25009206300,25009206300,CT2063,4437,9.9,21,8.6,28.2,12.8,9.5,7.4,2.5,38.1,19.4,7,6.8,42.3,20.2,37.9,24.1,14.5
1400000US25009206400,25009206400,CT2064,5630,9.5,13.7,11.2,31.9,11.5,12.5,5.8,3.9,46.4,16.2,5.2,6.9,40.3,18.1,35.1,30.5,12.7
1400000US25009206500,25009206500,CT2065,3301,10.9,20.2,11.3,30.1,9.3,10.5,4.7,2.9,28.7,23.5,5.2,9.3,50.6,28.7,26.8,22.8,15.5
1400000US25009206600,25009206600,CT2066,4344,3.7,17.2,8,30.7,13,12.8,8.8,5.8,57.6,12.2,6.3,5.6,27.6,17,25,34.3,12.9
1400000US25009206700,25009206700,CT2067,4514,6.1,12.6,11.1,29,16.1,12.4,6.9,5.7,52.4,17.9,10.1,7,31.8,14,33.7,27.1,17.7
1400000US25009206800,25009206800,CT2068,3728,7.3,15.8,10,28.4,11.8,14,7.2,5.5,27.7,19.6,5.9,13.9,56.2,36.4,29.8,24.3,7.2
1400000US25009206900,25009206900,CT2069,4051,5.4,11.3,9.3,25.6,17.6,6.8,11.2,12.7,51.3,20.3,0.4,0,38.5,17,28.8,32.8,15.5
1400000US25009207000,25009207000,CT2070,2428,10.1,17.9,13.1,25.4,6.1,7.7,11.8,8,20.8,23.4,8.4,6,50.3,43,28.4,22,3
1400000US25009207100,25009207100,CT2071,3416,9.5,18.2,11,37.7,10.2,6.9,4.7,1.7,16.5,17.7,20.2,16.1,51.3,39.6,35.1,17.3,6.7
1400000US25009207200,25009207200,CT2072,2701,9.1,21,9.6,29.7,8.2,8.6,8.6,5.1,27.5,11.2,17.7,10.3,49,22.4,41.5,25.7,5.9
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
