Zip Code,Town,Neighborhood
1901,Lynn,Central Lynn
1902,Lynn,East Lynn
1904,Lynn,Wyoma
1905,Lynn,West Lynn
1906,Saugus,North Saugus
1906,Saugus,Merrimac Terrace
1906,Saugus,Oakland Vale
1906,Saugus,Lynnhurst
1906,Saugus,
1906,Saugus,Pleasant Hills
1906,Saugus,Cliftondale
1907,Swampscott,
1908,Nahant,
1908,Nahant,Little Nahant
1908,Nahant,Pea Island
1908,Nahant,Castle Rock
1915,Beverly,Rial Side
1915,Beverly,North Beverly
1915,Beverly,Beverly Cove
1915,Beverly,Prides Crossing
1915,Beverly,Centerville
1915,Beverly,Central Beverly
1923,Danvers,Metro
1923,Danvers,Putnamville
1923,Danvers,Tapleyville
1923,Danvers,Danversport
1923,Danvers,Ferncroft
1923,Danvers,Burleys Corner
1937,Danvers,Hathorne
1945,Marblehead,
1945,Marblehead,Gerry Island
1945,Marblehead,Clifton
1945,Marblehead,Marblehead Neck
1960,Peabody,
1960,Peabody,West Peabody
1960,Peabody,South Peabody
1960,Peabody,Proctor
1970,Salem,Salem Neck
1970,Salem,South Salem
1970,Salem,Jeggle Island
